name,"replacement_name",dates_active,"peak_classification","sustained_wind_speeds",pressure,"areas_affected",damage_USD,deaths,retired_at
Lucille,,"May 25 – June 4, 1960",Tropical storm,85 km/h (50 mph),985 hPa (29.09 inHg),Philippines,$2 million,300–500,Pre-2000S
Ophelia,,"November 21 – December 6, 1960",Category 4 super typhoon,250 km/h (155 mph),925 hPa (27.32 inHg),Caroline Islands,Unknown,2,Pre-2000S
Karen,,"November 7 – 17, 1962",Category 5 super typhoon,295 km/h (185 mph),894 hPa (26.40 inHg),Guam,$250 million,11,Pre-2000S
Bess,,"October 8 – 14, 1974",Category 1 typhoon,120 km/h (75 mph),977 hPa (28.85 inHg),"Philippines, China, Vietnam",$9.2 million,32,Pre-2000S
Bess,,"July 21 – August 3, 1982",Category 5 super typhoon,260 km/h (160 mph),900 hPa (26.58 inHg),Japan,$2.32 billion,95,Pre-2000S
Ike,,"August 26 – September 6, 1984",Category 4 typhoon,230 km/h (145 mph),950 hPa (28.05 inHg),"Guam, Philippines, China",$1 billion,"1,142",Pre-2000S
Roy,,"January 7 – 19, 1988",Category 4 typhoon,215 km/h (135 mph),940 hPa (27.76 inHg),"Micronesia, Philippines",$28.5 million,2,Pre-2000S
Mike,,"November 5 – 18, 1990",Category 5 super typhoon,280 km/h (175 mph),915 hPa (27.02 inHg),"Micronesia, Philippines, China",$389 million,748,Pre-2000S
Mireille,,"September 13 – 27, 1991",Category 4 super typhoon,240 km/h (150 mph),925 hPa (27.32 inHg),"Mariana Islands, Japan, South Korea",$10 billion,66,Pre-2000S
Thelma,,"November 1 – 8, 1991",Tropical storm,85 km/h (50 mph),992 hPa (29.29 inHg),"Philippines, Vietnam",$27.7 million,"5,081–8,145",Pre-2000S
Omar,,"August 20 – September 6, 1992",Category 4 super typhoon,240 km/h (150 mph),920 hPa (27.17 inHg),"Mariana Islands, Guam, Taiwan, China",$561 million,15,Pre-2000S
Vamei,Peipah,"December 26, 2001 – January 1, 2002",Tropical storm,85 km/h (50 mph),1006 hPa (29.71 inHg),"Singapore, Malaysia, Indonesia",$3.6 million,5,2000S
Chataan,Matmo,"June 27 – July 13, 2002",Typhoon,175 km/h (110 mph),930 hPa (27.46 inHg),"Chuuk, Guam, Japan",$660 million,54,2000S
