"",Cambodia,China,North Korea,Hong Kong,Japan,Laos,Macau,Malaysia,Micronesia,Philippines,South Korea,Thailand,United States,Vietnam
Group 1-A,Damrey,Haikui,Kirogi,Yun-yeung,Koinu,Bolaven,Sanba,Jelawat,Ewiniar,Maliksi,Gaemi,Prapiroon,Maria,Son-Tinh
Group 1-B,Ampil,Wukong,Jongdari,Shanshan,Yagi,Leepi,Bebinca,Rumbia,Soulik,Cimaron,Jebi,Mangkhut,Barijat,Trami
Group 2-A,Kong-rey,Yutu,Toraji,Man-yi,Usagi,Pabuk,Wutip,Sepat,Mun,Danas,Nari,Wipha,Francisco,Lekima
Group 2-B,Krosa,Bailu,Podul,Lingling,Kajiki,Faxai,Peipah,Tapah,Mitag,Hagibis,Neoguri,Bualoi,Matmo,Halong
Group 3-A,Nakri,Fengshen,Kalmaegi,Fung-wong,Kammuri,Phanfone,Vongfong,Nuri,Sinlaku,Hagupit,Jangmi,Mekkhala,Higos,Bavi
Group 3-B,Maysak,Haishen,Noul,Dolphin,Kujira,Chan-hom,Linfa,Nangka,Saudel,Molave,Goni,Atsani,Etau,Vamco
Group 4-A,Krovanh,Dujuan,Surigae,Choi-wan,Koguma,Champi,In-fa,Cempaka,Nepartak,Lupit,Mirinae,Nida,Omais,Conson
Group 4-B,Chanthu,Dianmu,Mindulle,Lionrock,Kompasu,Namtheun,Malou,Nyatoh,Rai,Malakas,Megi,Chaba,Aere,Songda
Group 5-A,Trases,Mulan,Meari,Ma-on,Tokage,Hinnamnor,Muifa,Merbok,Nanmadol,Talas,Noru,Kulap,Roke,Sonca
Group 5-B,Nesat,Haitang,Nalgae,Banyan,Yamaneko,Pakhar,Sanvu,Mawar,Guchol,Talim,Doksuri,Khanun,Lan,Saola
