"",Cambodia,China,North Korea,Hong Kong,Japan,Laos,Macau,Malaysia,Micronesia,Philippines,South Korea,Thailand,United States,Vietnam
1A,Damrey,Haikui,Kirogi,Yun-yeung,Koinu,Bolaven,Sanba,Jelawat,Ewiniar,Maliksi,Gaemi,Prapiroon,Maria,Son-Tinh
1B,Ampil,Wukong,Jongdari,Shanshan,Yagi,Leepi,Bebinca,Rumbia,Soulik,Cimaron,Jebi,Mangkhut,Barijat,Trami
2A,Kong-rey,Yutu,Toraji,Man-yi,Usagi,Pabuk,Wutip,Sepat,Mun,Danas,Nari,Wipha,Francisco,Lekima
2B,Krosa,Bailu,Podul,Lingling,Kajiki,Faxai,Peipah,Tapah,Mitag,Hagibis,Neoguri,Bualoi,Matmo,Halong
3A,Nakri,Fengshen,Kalmaegi,Fung-wong,Kammuri,Phanfone,Vongfong,Nuri,Sinlaku,Hagupit,Jangmi,Mekkhala,Higos,Bavi
3B,Maysak,Haishen,Noul,Dolphin,Kujira,Chan-hom,Linfa,Nangka,Saudel,Molave,Goni,Atsani,Etau,Vamco
4A,Krovanh,Dujuan,Surigae,Choi-wan,Koguma,Champi,In-fa,Cempaka,Nepartak,Lupit,Mirinae,Nida,Omais,Conson
4B,Chanthu,Dianmu,Mindulle,Lionrock,Kompasu,Namtheun,Malou,Nyatoh,Rai,Malakas,Megi,Chaba,Aere,Songda
5A,Trases,Mulan,Meari,Ma-on,Tokage,Hinnamnor,Muifa,Merbok,Nanmadol,Talas,Noru,Kulap,Roke,Sonca
5B,Nesat,Haitang,Nalgae,Banyan,Yamaneko,Pakhar,Sanvu,Mawar,Guchol,Talim,Doksuri,Khanun,Lan,Saola
